,text
0,"two wolfgang petersen direct film togeth one packag could want , fine pictur qualiti extra old dvd . `` air forc one '' particular excel ."
1,fan seri movi film must . continu wrath khan level interest . anyway good movi
2,"love movi . blu-ray fine , came expir digit copi code . disappoint"
3,n't know go end movi . seen movi n't know happen end leav cold .
4,"watch minut movi , due offens content . want see , wee heard mani time ."
5,"watch , digit copi - annoy day age ."
6,state descript multi-format . ! ! ! ! ! ! blu-ray 's . reason bought digit copi ! ! ! disappoint say least . feel rip .
7,rare classic ! real life cartoon made look like one world time . awesom .
8,hate movi dvd terribl scratch . say simpli threw away .
9,rememb like movi child want watch kid . unfortun like lot older movi could n't hold attent end watch .
10,"bought movi 've read book . ok , one favorit . fan time period like enjoy movi ."
11,charm movi bite . hitchcock 's direct give stori line wrong turn right timel
12,dea agent investig disappear legendari armi ranger drill sergeant sever cadet train exercis gone sever awri .
13,made mistak get readi copi nightmar ever sinc . save !
14,"fault , cours , movi nearli enterta 'd come expect taylor movi"
15,"best film youth ! teenag girl love come age film , expertli act underr yet incred talent dominiqu swain ."
16,"daughter want movi love . , think stupid , poorli written cheesi effect . dvd make good coaster ."
17,old movi star robert stack expect ? return childhood memori .
18,gift friend like much . action great imag clearer intens .
19,"enjoy role play favorit actor . although stori line pasta chef , enjoy watch cultur food prepar tradit ."
20,"much dialog , stori line hard follow . care plot movi . goodfella good mob movi ."
21,"n't worst movi , best 've seen . earli '90 , ok ."
22,"great movi ! laugh way . saw first came , similar storylin hear morgan 's ( sort ) ."
23,"like jeff bridg . 's undoubtedli made better movi , lot , worth time , like . valeri perrin hindranc ."
24,nice disney tell lippizan hors save wwii peopl care war destruct .
25,vh movi final gave got dvd . love movi . awesom lesson !
26,great film like numer other give star releas 3d .
27,"enough said . michel rodriguez hottest action star . mix monster winner winner , chicken dinner ."
28,wast time best watch fast forward best part singer/danc begin end movi .
29,"bought great cast , storylin slow bit bore ."
30,bad consid age movi . saw first time back 's alway rememb decent movi . good 's genr .
31,go oo oo ooo oo oo oo oo oo oo oo oo oo oo oo oo oo oo ooooooooooooooooooood . kid love
32,"three star previou day went film locat movi , china camp . bad 's flick mostli propoganda film ."
33,", never ever seen w.a film love surprsi like one actual found bore solopist . ah well , ca n't win !"
34,thing bad john wayn movi . `` duke '' element outman stand alon guy black hat .
35,thought silli husband laugh lot probabl would give star
36,"love . miss first time around , hobbl bad hip . earli scene akin `` honeymoon '' graphic , seri develop nice addict ."
37,"say ok movi , ...... expect movi scene ..."
38,"love plenti action speak thesi cover everi year 12th grade class ; scienc vs. religion . addit , student realli love"
39,henri fonda great histori aspect correct . movi action pack enough tast .
40,"nice suspens , exactli brain food . still , 's entertain ; least good guy n't good , bad guy n't bad , least end . keep guess ."
41,never like pokemon . n't think movi entertain . think peopl made pokemon imbecil . recommend movi .
42,"see christoph lloyd klingon make film worth watch . oh , robin curti saavik way better kirsti alley ."
43,f un watc h bit corni use pulp style 30 .
44,"gener , lumber histori siberian famili year present time loss tundra . long present one sit ."
45,saw movi tv decid purchas realli like . kevin bacon best .
46,"best movi ford good , bad ."
47,"everyon cast get moment shine ... good blend old new , action comedi . star trek made first ."
48,inspir true stori cope handicap . anoth plu stori teach us n't handicap much help other accept . brave !
49,foolish nonsens even kerr niven could salvag . heard classic life -- classic rubbish . otto preming worst .
50,anoth fantast perform johnni depp . defin true drug stori amaz see rise plummet ador man ! got watch movi !
51,great classic movi ! movi like made anymor . keeper sure watch mani time .
52,"could entertain film michael dougla , especi , melani griffin bar make movi sever year effort . bad mani level ."
53,"movi n't come anywher near qualiti zane grey 's book , disappoint . hope movi made book better one ."
54,n't like burt reynold flick much older one . career wind voic kind soft manli previou movi . bandit best flick ever .
55,"act complet bad , 's actual tone whole movi . new york accent done non new yorker done worst way , uniform . aw . star"
56,"must shame admit , purchas movi simpli gaze keanu 's loveli . man beauti !"
57,even seventi standard pretti cheesi . westworld ( 1970 version ) much better .
58,"arriv planet deneva , home kirk 's brother samand famili , u.s. . enterpris pick transmiss adenevan pilot steer craft sun destroy unknown menac ."
59,good movi hole famili watch . love ! would recom one look good famili film see .
60,"film good watch , two outstand sequenc laughton 's robinson 's . disc transfer cheap sloppi , done print scratch damag , wors yet soundtrack glitch ."
61,price cheap . prefer remak still nice see origin .
62,good movi . enjoy nick nolt . hard nose take b. s. wish could find blu-ray .
63,nearli good origin love humor . perform raymond bur peter grave fantast .
64,"good act hold interest , someon said : `` muddl . '' saw tv - eras ."
65,"progress mark jameson handl realli well . end bit weak , rather anticlimact . enterpris crew seem kind background one , like n't even realli need episod ."
66,dvd play minut noth els . gave son christma present live hr away .
67,daniel day-lewi amaz job portray christi brown ! ! ! ca n't begin fathom ! stori full inspir scene transport anoth world .
68,"n't care psychic portion movi , begin , otherwis like movi lot ."
69,"great episod ; great act , real-lif situat conflict first femal head america . sorri episod made"
70,bought request gift . question recipi 's valu . guess even johnni depp n't like talk .
71,"tri littl boy bore . 's educ video love leap frog sesam street video , n't catch hold attent ."
72,"good first one opinion . n't like plot film , could done better job regard fight dialogu ."
73,granddaught love movi . want watch . glad purchas . n't seen one 's delight .
74,nice deliveri hate movi . caant staand myrna loy could n't wait tyron power take turban . wonder special effect
75,fun steve martin/goldi hawn movi . got good bunch laugh found older movi better today trash .
76,"phoni , bad stori line . gener like time period movi natur . realli disappoint one ."
77,duke john wayn sargent striker whole verri well done . anoth must see ww.2 fan wo n't disapoint .
78,care movi . film poor n't expect paul walker see lazaru project bobbi z .
79,"great cast , n't feel spark grant kerr mitchum kerr . seen actor much better role ."
80,"lot nois , curs , violenc one- dimension idiot charact . real yawner . need help fall asleep ."
81,pretti close first season x-file . thought would differ . think certain episod one .
82,great movi younger year . huge fan eddi murphi better work
83,think fun movi see actor young . fun !
84,like n't love . rememb see year ago . entertain date .
85,long ! ! ! ! ! ! slept twice movi . end want jail kevin 's charact burn diari .
86,great movi . bought gift recipi love . great servic fast ship .
87,daughter need watch movi compar book . great represent book . 'm surpris ! ! ! great act .
88,awesom movi read book movi littl tame actual read . still entertain movi 'll quot line year come
89,"realli enjoy littl princess . first , fear would kitschig actual delight ."
90,"well , 's old jcvd movi , 's 'd expect , enjoy !"
91,"surpris mail person , cover case , paper , use . order new . movi fabul one favoritet ."
92,bought year old learn count . love ! realli add sesam street collect .
93,"version want . anoth version one want , one n't . take word ."
94,forget pallid film re-mak ; great british seri confus raymond chandler plot atmospher irresist .
95,eras terrif film ! like film due 's perform arnold vanessa . nice flick !
96,"thin plot bare credibl `` alien '' combin overwhelm reason perform ms. lord . product qualiti solid , howev ."
97,true scienc fiction film direct master filmmak paul verhoeven . arnold best act sharon stone deliv pivot support role . right par robocop starship trooper .
98,"best movi time . love sinc , '80 movi open world still ."
99,"movi even wors number four . take advic stick true halloween trilog : , , ."
100,"movi great , qualiti disc excel , skip , hardli wear disc , overal happi !"
101,spielberg 's best star comedi great blu-ray lot better improv dvd ! ! wow audio sound clear !
102,stupid pathet movi . could n't make way end . total wast time .
103,n't best movi 'll ever watch reason watch see nake drew barrymor get littl &
104,item arriv quickli good condit . good-tim movi . music ( vh version ) great .
105,"thought would get eceit wrong , sand two guy n't look like"
106,like better first came ! worst movi 've ever seen !
